0,num_clicks,num_carts,num_orders
2,2,6.565967046690569,3.8789704271631984
7,5,1.0,1.0
25,25,6.565967046690569,3.8789704271631984
24,24,6.565967046690569,3.8789704271631984
11,11,6.565967046690569,3.8789704271631984
3,3,6.565967046690569,3.8789704271631984
2,2,6.565967046690569,3.8789704271631984
233,218,15.0,3.8789704271631984
3,3,6.565967046690569,3.8789704271631984
32,28,4.0,3.8789704271631984
9,7,1.0,1.0
32,31,1.0,3.8789704271631984
8,8,6.565967046690569,3.8789704271631984
27,22,5.0,3.8789704271631984
19,19,6.565967046690569,3.8789704271631984
4,4,6.565967046690569,3.8789704271631984
2,2,6.565967046690569,3.8789704271631984
9,9,6.565967046690569,3.8789704271631984
12,11,1.0,3.8789704271631984
24,24,6.565967046690569,3.8789704271631984
34,34,6.565967046690569,3.8789704271631984
61,59,2.0,3.8789704271631984
15,12,3.0,3.8789704271631984
4,4,6.565967046690569,3.8789704271631984
3,3,6.565967046690569,3.8789704271631984
3,3,6.565967046690569,3.8789704271631984
37,35,2.0,3.8789704271631984
88,88,6.565967046690569,3.8789704271631984
2,2,6.565967046690569,3.8789704271631984
8,8,6.565967046690569,3.8789704271631984
16,14,2.0,3.8789704271631984
3,3,6.565967046690569,3.8789704271631984
29,20,5.0,4.0
43,39,3.0,1.0
3,3,6.565967046690569,3.8789704271631984
2,2,6.565967046690569,3.8789704271631984
113,106,5.0,2.0
11,11,6.565967046690569,3.8789704271631984
6,6,6.565967046690569,3.8789704271631984
16,16,6.565967046690569,3.8789704271631984
10,10,6.565967046690569,3.8789704271631984
2,2,6.565967046690569,3.8789704271631984
114,100,12.0,2.0
13,13,6.565967046690569,3.8789704271631984
4,4,6.565967046690569,3.8789704271631984
2,2,6.565967046690569,3.8789704271631984
34,34,6.565967046690569,3.8789704271631984
9,9,6.565967046690569,3.8789704271631984
240,216,15.0,9.0
26,26,6.565967046690569,3.8789704271631984
17,9,4.0,4.0
72,67,5.0,3.8789704271631984
7,6,1.0,3.8789704271631984
5,5,6.565967046690569,3.8789704271631984
29,29,6.565967046690569,3.8789704271631984
14,10,3.0,1.0
3,3,6.565967046690569,3.8789704271631984
3,3,6.565967046690569,3.8789704271631984
7,7,6.565967046690569,3.8789704271631984
6,2,2.0,2.0
7,5,1.0,1.0
5,4,1.0,3.8789704271631984
133,121,7.0,5.0
2,2,6.565967046690569,3.8789704271631984
20,20,6.565967046690569,3.8789704271631984
55,55,6.565967046690569,3.8789704271631984
13,9,4.0,3.8789704271631984
3,3,6.565967046690569,3.8789704271631984
84,84,6.565967046690569,3.8789704271631984
10,10,6.565967046690569,3.8789704271631984
29,28,1.0,3.8789704271631984
15,15,6.565967046690569,3.8789704271631984
104,104,6.565967046690569,3.8789704271631984
64,61,2.0,1.0
12,11,1.0,3.8789704271631984
2,2,6.565967046690569,3.8789704271631984
2,2,6.565967046690569,3.8789704271631984
8,8,6.565967046690569,3.8789704271631984
2,2,6.565967046690569,3.8789704271631984
